2015-08-16 00:21:49 INFO  GeoImageReaderFactory:118 - Successfully reading {0} as {1}...
2015-08-16 00:25:52 INFO  DetectedPixels:384 - Aggregating pixel Num:6200  x:20755   y:4234
2015-08-16 00:25:52 INFO  DetectedPixels:384 - Aggregating pixel Num:6300  x:266   y:698
2015-08-16 00:25:52 INFO  DetectedPixels:384 - Aggregating pixel Num:6400  x:18742   y:3454
2015-08-16 00:25:53 INFO  DetectedPixels:384 - Aggregating pixel Num:6500  x:233   y:689
2015-08-16 00:25:53 INFO  DetectedPixels:384 - Aggregating pixel Num:6600  x:22246   y:3917
2015-08-16 00:25:53 INFO  DetectedPixels:384 - Aggregating pixel Num:6700  x:11987   y:6667
2015-08-16 00:25:54 INFO  DetectedPixels:384 - Aggregating pixel Num:6800  x:24989   y:2473
2015-08-16 00:25:54 INFO  DetectedPixels:384 - Aggregating pixel Num:6900  x:24365   y:2361
2015-08-16 00:25:54 INFO  DetectedPixels:384 - Aggregating pixel Num:7000  x:24960   y:5516
2015-08-16 00:25:54 INFO  DetectedPixels:384 - Aggregating pixel Num:7100  x:19137   y:3823
2015-08-16 00:25:54 INFO  DetectedPixels:384 - Aggregating pixel Num:7200  x:23901   y:8699
2015-08-16 00:25:54 INFO  DetectedPixels:384 - Aggregating pixel Num:7300  x:497   y:1359
2015-08-16 00:25:55 INFO  DetectedPixels:384 - Aggregating pixel Num:7400  x:24960   y:5488
2015-08-16 00:25:55 INFO  DetectedPixels:384 - Aggregating pixel Num:7500  x:18734   y:3460
2015-08-16 00:25:55 INFO  DetectedPixels:384 - Aggregating pixel Num:7600  x:22222   y:3902
2015-08-16 00:25:55 INFO  DetectedPixels:384 - Aggregating pixel Num:7700  x:22247   y:3910
2015-08-16 00:25:55 INFO  DetectedPixels:384 - Aggregating pixel Num:7800  x:280   y:705
2015-08-16 00:25:55 INFO  DetectedPixels:384 - Aggregating pixel Num:7900  x:17772   y:7886
2015-08-16 00:25:56 INFO  DetectedPixels:384 - Aggregating pixel Num:8000  x:11958   y:6898
2015-08-16 00:25:56 INFO  DetectedPixels:384 - Aggregating pixel Num:8100  x:17785   y:7886
2015-08-16 00:25:56 INFO  DetectedPixels:384 - Aggregating pixel Num:8200  x:19010   y:7343
2015-08-16 00:25:56 INFO  DetectedPixels:384 - Aggregating pixel Num:8300  x:21438   y:6623
2015-08-16 00:25:57 INFO  DetectedPixels:384 - Aggregating pixel Num:8400  x:19165   y:3841
2015-08-16 00:25:57 INFO  DetectedPixels:384 - Aggregating pixel Num:8500  x:17060   y:3512
2015-08-16 00:25:57 INFO  DetectedPixels:384 - Aggregating pixel Num:8600  x:20764   y:4231
2015-08-16 00:25:57 INFO  DetectedPixels:384 - Aggregating pixel Num:8700  x:23805   y:2717
2015-08-16 00:25:57 INFO  DetectedPixels:384 - Aggregating pixel Num:8800  x:23950   y:8725
